"id","attr_time","attr_x","attr_y","attr_z"
"1","1518805809961","0.0612794","-0.0878429","-0.202867"
"2","1518805809961","-0.0352549","-0.0262196","-0.164208"
"3","1518805809983","-0.0799203","0.00775558","-0.0145264"
"4","1518805809983","-0.106075","0.00237362","0.0707417"
"5","1518805809997","-0.0139898","-0.0230016","0.152365"
"6","1518805809997","0.0347782","-0.0184013","0.232986"
"7","1518805810012","0.0795389","-0.014721","0.243852"
"8","1518805810014","0.0655465","-0.0117768","0.174012"
"9","1518805810029","0.0275368","0.0652799","0.0606775"
"10","1518805810045","0.00670607","0.132672","0.0351343"
"11","1518805810045","0.00728028","0.165515","0.0300226"
"12","1518805810062","0.095849","0.134328","0.0182724"
"13","1518805810082","0.145634","0.0653229","0.00121021"
"14","1518805810082","0.141408","0.0158653","-0.0718174"
"15","1518805810101","0.0805642","0.0261002","-0.0727778"
"16","1518805810101","-0.0159963","-0.000189453","-0.0620527"
"17","1518805810118","-0.0587671","-0.0959226","-0.0592194"
"18","1518805810119","-0.0929838","-0.120793","0.0062561"
"19","1518805810137","-0.0533174","-0.180913","0.0701294"
"20","1518805810137","-0.0484002","-0.177292","0.0714264"
"21","1518805810159","-0.0138197","-0.180142","0.0820417"
"22","1518805810159","0.0444914","-0.147945","0.0215788"
"23","1518805810180","0.114125","-0.0436543","2.38419e-05"
"24","1518805810181","0.118116","0.00146953","-0.0708513"
"25","1518805810194","0.138548","0.016499","-0.0969048"
"26","1518805810195","0.0859376","-0.00978585","-0.14648"
"27","1518805810210","0.0151183","0.00174842","-0.126761"
"28","1518805810228","-0.0645222","-0.01584","-0.145463"
"29","1518805810228","-0.0784336","-0.00692578","-0.101048"
"30","1518805810244","-0.0512544","-0.0036252","-0.0789223"
"31","1518805810244","-0.0563269","0.016254","-0.00759029"
"32","1518805810261","0.0468787","-0.0367977","0.0456438"
"33","1518805810277","0.0260104","0.0376015","0.0537539"
"34","1518805810278","0.00356956","0.0588125","0.0353413"
"35","1518805810296","0.0469103","0.0623734","-0.101975"
"36","1518805810296","-0.00844182","0.0613912","-0.181182"
"37","1518805810313","-0.146579","0.0222971","-0.125792"
"38","1518805810314","-0.232188","-0.0396249","-0.100634"
"39","1518805810330","-0.323661","-0.207919","-0.0172987"
"40","1518805810349","-0.264675","-0.313822","-0.044486"
"41","1518805810350","-0.0891532","-0.337252","-0.0681505"
"42","1518805810361","0.0206176","-0.254478","-0.0947447"
"43","1518805810377","0.0701258","-0.103981","-0.0336561"
"44","1518805810377","0.048439","0.0279099","-0.0288401"
"45","1518805810395","0.0617362","0.164069","-0.0843658"
"46","1518805810395","0.129837","0.186802","-0.12304"
"47","1518805810412","0.0847151","0.155188","0.0471401"
"48","1518805810431","0.0601104","0.0609417","0.284801"
"49","1518805810431","-0.00171259","0.00852954","0.599432"
"50","1518805810445","-0.0281859","-0.00466889","0.730466"
"51","1518805810445","-0.0723497","-0.00181969","0.749099"
"52","1518805810461","-0.040641","-0.0244408","0.626095"
"53","1518805810477","4.93675e-05","0.0110941","0.276772"
"54","1518805810477","0.00195491","0.121885","-0.0448265"
"55","1518805810498","0.0437032","0.172209","-0.342329"
"56","1518805810498","0.0158083","0.185653","-0.404112"
"57","1518805810503","0.00115415","0.13703","-0.41523"
"58","1518805810515","0.0258238","0.0387534","-0.485417"
"59","1518805810524","0.0129974","0.0999578","-0.721618"
"60","1518805810534","0.0946763","0.00143405","-0.450876"
"61","1518805810544","-0.0372687","-0.0199224","-0.255353"
"62","1518805810554","-0.106432","-0.0465846","-0.160228"
"63","1518805810564","-0.0966379","-0.0755761","-0.20863"
"64","1518805810574","-0.09838","-0.0757842","-0.232028"
"65","1518805810584","-0.00591801","-0.0874433","-0.26607"
"66","1518805810595","0.069967","-0.0814471","-0.243503"
"67","1518805810605","0.203461","-0.130282","0.0388784"
"68","1518805810614","0.14553","-0.109972","0.408441"
"69","1518805810624","0.127916","-0.0707387","0.744314"
"70","1518805810634","0.0391243","-0.0221134","0.719954"
"71","1518805810644","0.0274686","0.0340256","0.495515"
"72","1518805810655","0.0238903","0.0425438","0.118676"
"73","1518805810665","0.0708286","0.0493584","-0.0831938"
"74","1518805810674","0.0451704","-0.0218067","-0.227449"
"75","1518805810684","0.0821064","-0.0959776","-0.2988"
"76","1518805810695","0.0829239","-0.0863592","-0.39419"
"77","1518805810704","0.056762","-0.076749","-0.411122"
"78","1518805810715","-0.0446151","-0.0613992","-0.296336"
"79","1518805810725","-0.0740005","-0.114244","-0.215999"
"80","1518805810735","-0.118578","-0.0913949","-0.182376"
"81","1518805810744","-0.0354847","-0.197618","0.118427"
"82","1518805810755","-0.0226415","-0.395607","0.439517"
"83","1518805810764","-0.00470528","-0.410341","0.604448"
"84","1518805810775","0.0939222","-0.307203","0.556345"
"85","1518805810785","0.15367","-0.12126","0.504454"
"86","1518805810795","0.166991","0.0504792","0.441872"
"87","1518805810804","0.344289","0.224264","0.292203"
"88","1518805810815","0.36354","0.393938","0.203115"
"89","1518805810824","0.2123","0.38219","0.106945"
"90","1518805810835","0.051084","0.311498","-0.0197916"
"91","1518805810845","-0.0280879","0.243452","-0.211205"
"92","1518805810855","-0.0167241","0.0645133","-0.379661"
"93","1518805810864","0.0517451","-0.00776733","-0.541241"
"94","1518805810875","0.0624657","0.0320945","-0.394685"
"95","1518805810884","0.0576342","0.0793074","-0.131867"
"96","1518805810895","0.180187","0.10367","0.0381622"
"97","1518805810905","0.232259","0.105921","0.0381918"
"98","1518805810914","0.0900359","0.119214","-0.00583935"
"99","1518805810924","-0.0160806","0.149003","-0.0659657"
"100","1518805810935","-0.0301032","0.0808941","-0.0527725"
"101","1518805810944","-0.00684381","-0.0138169","-0.105427"
"102","1518805810955","-0.055276","-0.0857549","-0.227998"
"103","1518805810965","-0.136161","-0.0686039","-0.431403"
"104","1518805810975","-0.114675","0.000664026","-0.473454"
"105","1518805810984","-0.187511","0.0081929","-0.263839"
"106","1518805810995","-0.24578","-0.00302278","0.0551729"
"107","1518805811004","-0.236848","-0.0464729","0.308467"
"108","1518805811014","-0.0879609","-0.0620788","0.400006"
"109","1518805811025","-0.0512145","-0.0649864","0.41386"
"110","1518805811035","0.0547994","-0.0251732","0.355989"
"111","1518805811044","0.032347","0.0220007","0.242652"
"112","1518805811054","0.136972","0.0463318","0.0849428"
"113","1518805811064","0.0252991","0.0619659","-0.016324"
"114","1518805811074","-0.0736163","0.0955428","-0.00348186"
"115","1518805811085","-0.173818","0.0955885","-0.0200253"
"116","1518805811095","-0.194602","0.109033","0.0165424"
"117","1518805811104","-0.134612","0.106381","0.0515432"
"118","1518805811115","-0.00425676","0.0659502","-0.0258045"
"119","1518805811124","0.0847039","0.00295927","-0.110669"
"120","1518805811135","0.132887","-0.0282793","-0.20346"
"121","1518805811145","0.104394","-0.0226234","-0.26237"
"122","1518805811157","0.0509535","-0.0104371","-0.206064"
"123","1518805811170","-0.0339386","-0.0907127","-0.0786571"
"124","1518805811175","-0.0616284","-0.177918","0.000283241"
"125","1518805811184","-0.0856957","-0.148081","0.0404501"
"126","1518805811194","-0.143258","-0.0571713","-0.0193567"
"127","1518805811205","-0.139507","0.0462031","-0.0557089"
"128","1518805811215","-0.115436","0.0637784","-0.0100889"
"129","1518805811224","-0.0233939","0.0127143","0.00725174"
"130","1518805811235","0.0100162","-0.0415449","0.00388622"
"131","1518805811244","-0.0513651","0.0318884","-0.0926619"
"132","1518805811254","0.0202014","0.0848887","-0.179478"
"133","1518805811265","-0.0125702","0.0142792","-0.103358"
"134","1518805811274","-0.00430986","-0.0977556","0.00159168"
"135","1518805811284","0.0655072","-0.202707","-0.0408649"
"136","1518805811295","-0.0701811","-0.116195","-0.0729151"
"137","1518805811304","-0.0695528","-0.0125086","0.008708"
"138","1518805811315","-0.0709656","0.0129781","0.0625133"
"139","1518805811325","-0.0261258","-0.0413338","0.145782"
"140","1518805811335","0.00783068","-0.0675446","0.183664"
"141","1518805811344","0.0215879","0.00342691","0.200563"
"142","1518805811355","0.00386238","0.0372191","0.13555"
"143","1518805811365","-0.0658652","0.0221136","0.0299082"
"144","1518805811376","-0.113986","0.00236753","-0.0373669"
"145","1518805811385","-0.0911885","-2.13981e-05","-0.0528784"
"146","1518805811401","-0.0308116","0.0344604","-0.00399399"
"147","1518805811404","0.0577138","0.0467225","0.0791683"
"148","1518805811413","0.138111","0.0527014","0.205076"
"149","1518805811422","0.240737","-0.0651024","0.298141"
"150","1518805811432","0.341993","-0.15743","0.246174"
"151","1518805811442","0.365534","-0.325148","0.35592"
"152","1518805811452","0.0223533","-0.298427","0.399661"
"153","1518805811461","-0.139182","-0.177448","0.239282"
"154","1518805811472","-0.218609","-0.0136251","0.0688381"
"155","1518805811484","-0.176803","0.171065","-0.0234623"
"156","1518805811494","-0.0360939","0.201976","-0.127949"
"157","1518805811504","0.10712","0.213297","-0.246016"
"158","1518805811514","0.168059","0.172553","-0.204474"
"159","1518805811523","0.163178","0.0882417","-0.157834"
"160","1518805811535","0.111388","-0.109456","-0.0783815"
"161","1518805811544","0.058464","-0.173759","-0.108675"
"162","1518805811555","-0.0566615","-0.1754","-0.0946026"
"163","1518805811565","-0.213886","-0.138405","-0.0948362"
"164","1518805811575","-0.180686","-0.0398532","-0.116094"
"165","1518805811584","-0.0334545","0.0140876","-0.0737209"
"166","1518805811595","0.0345298","-0.0366154","-0.0915394"
"167","1518805811604","0.0391164","-0.0465311","-0.0655689"
"168","1518805811615","0.0159698","-0.0372249","-0.052455"
"169","1518805811625","-0.0427714","-0.0508496","-0.066865"
"170","1518805811635","-0.0054858","-0.0311025","-0.200978"
"171","1518805811644","0.10479","0.00959554","-0.291032"
"172","1518805811655","0.162364","0.00576103","-0.25198"
"173","1518805811664","0.200762","-0.0202917","-0.222653"
"174","1518805811675","0.202749","0.0182442","-0.193446"
"175","1518805811685","0.110483","0.0548192","0.0061388"
"176","1518805811695","0.0634859","0.0457708","0.207946"
"177","1518805811704","0.0546195","-0.0131843","0.382799"
"178","1518805811714","0.0934965","-0.110149","0.342632"
"179","1518805811724","0.113106","-0.136005","0.103633"
"180","1518805811735","0.0943154","-0.0532567","-0.0530882"
"181","1518805811745","0.0275667","-0.0215358","0.00541496"
"182","1518805811755","0.00289923","-0.0900145","0.0579634"
"183","1518805811764","0.0310507","-0.185021","0.0559473"
"184","1518805811775","0.0344176","-0.163341","0.0524187"
"185","1518805811784","0.0122108","-0.055971","0.0783281"
"186","1518805811795","-0.00172389","0.0375862","0.0875635"
"187","1518805811805","0.0158597","0.0683774","0.0259953"
"188","1518805811815","0.0739812","0.0623636","0.0820904"
"189","1518805811824","0.045777","0.04606","0.194006"
"190","1518805811835","0.0212983","0.0119476","0.250976"
"191","1518805811844","-0.0136081","0.0191352","0.158641"
"192","1518805811855","-0.0434486","0.0804324","-0.0416441"
"193","1518805811865","-0.044336","0.152455","-0.0754547"
"194","1518805811874","0.00858587","0.0855712","-0.0469561"
"195","1518805811884","0.0221921","0.055049","0.0620365"
"196","1518805811895","-0.0741865","0.0651088","0.135823"
"197","1518805811905","-0.0823343","0.0635796","0.0780125"
"198","1518805811915","-0.0735291","0.0949184","-0.0506001"
"199","1518805811925","-0.150763","0.160213","-0.120928"
"200","1518805811934","-0.126357","0.154986","-0.292115"
"201","1518805811944","-0.080016","0.125905","-0.298817"
"202","1518805811954","-0.083167","0.056669","-0.181591"
"203","1518805811964","-0.0741952","0.0127731","0.0290308"
"204","1518805811974","-0.0804258","-0.0127666","0.149642"
"205","1518805811985","-0.104564","-0.0466063","0.12546"
"206","1518805811994","-0.0932287","-0.0890013","0.0505667"
"207","1518805812004","-0.0496825","-0.170803","-0.0878801"
"208","1518805812015","-0.0838007","-0.127065","-0.156498"
"209","1518805812024","-0.220274","-0.0365279","-0.121367"
"210","1518805812034","-0.176219","0.00908607","-0.146894"
"211","1518805812045","-0.0183885","-0.0348704","-0.163486"
"212","1518805812055","-0.0319496","0.0563822","-0.216982"
"213","1518805812064","0.0338183","0.0814987","-0.0529137"
"214","1518805812074","-0.00550747","0.0230598","0.0860014"
"215","1518805812084","-0.0484606","0.0165324","0.210542"
"216","1518805812094","-0.0157835","0.0438726","0.233558"
"217","1518805812105","0.0199353","-0.0166182","0.117891"
"218","1518805812115","-0.0108676","-0.0228717","0.034935"
"219","1518805812124","0.0123755","0.00851852","-0.0390911"
"220","1518805812135","0.0194775","0.0221382","-0.20366"
"221","1518805812144","-0.080189","0.0368647","-0.19166"
"222","1518805812156","-0.131191","0.0294918","-0.138004"
"223","1518805812169","-0.13943","0.00252382","-0.0950804"
"224","1518805812174","-0.140276","-0.0286277","-0.0607405"
"225","1518805812184","-0.0796583","0.0422222","-0.0811548"
"226","1518805812194","-0.0311645","0.0586782","-0.0572615"
"227","1518805812204","-0.0153545","0.0526888","0.0576229"
"228","1518805812214","0.0490098","0.0651361","0.134208"
"229","1518805812224","0.0449541","0.0540243","0.141844"
"230","1518805812235","0.0129783","0.00491102","0.0866594"
"231","1518805812244","-0.0183487","-0.0554492","-0.0245285"
"232","1518805812254","-0.0414948","-0.0615981","-0.0847464"
"233","1518805812264","-0.0810813","-0.0722635","-0.0505581"
"234","1518805812274","-0.0840193","-0.0501492","-0.0155468"
"235","1518805812285","-0.0691308","0.00393532","0.0526867"
"236","1518805812294","-0.0744589","0.0586954","0.120682"
"237","1518805812304","-0.0959601","0.125489","0.127192"
"238","1518805812315","-0.00206669","0.125291","0.105584"
"239","1518805812324","0.0175008","0.169188","0.080637"
"240","1518805812335","0.0408166","0.152589","0.0568485"
"241","1518805812345","0.0767079","0.122071","0.039732"
"242","1518805812354","0.0402967","0.103403","0.0260391"
"243","1518805812364","0.0245757","0.0769765","0.0074234"
"244","1518805812374","0.0368993","0.0615812","0.00593853"
"245","1518805812384","0.0888975","0.049265","-0.0565424"
"246","1518805812394","0.0768642","0.039412","-0.0011797"
"247","1518805812404","0.0442526","0.0315296","0.0316191"
"248","1518805812414","0.0315713","0.0252237","0.0731802"
"249","1518805812424","0.0693117","0.0201789","0.0911064"
"250","1518805812435","0.0726881","0.019974","0.0269155"
"251","1518805812444","0.14626","0.0121483","-0.0244379"
"252","1518805812454","0.0825303","-0.0400822","0.0857973"
"253","1518805812465","0.0756013","-0.0971901","-0.00606346"
"254","1518805812475","0.104536","-0.114145","-0.0987072"
"255","1518805812484","0.00509635","-0.0932314","-0.259015"
"256","1518805812494","0.0596243","-0.101401","-0.184227"
"257","1518805812504","0.0266298","-0.132837","-0.109074"
"258","1518805812514","-0.0802134","-0.0277375","0.0391598"
"259","1518805812525","-0.0948174","0.0199492","0.086874"
"260","1518805812535","0.0371558","-0.0529957","0.0369377"
"261","1518805812545","0.0412172","-0.140083","-0.0796289"
"262","1518805812557","-0.0187426","-0.165698","-0.0732803"
"263","1518805812566","-0.0782029","-0.142136","0.00458431"
"264","1518805812577","-0.125771","-0.0907235","0.0611296"
"265","1518805812587","-0.142756","-0.105141","0.0795498"
"266","1518805812596","-0.133359","-0.0821973","0.0387402"
"267","1518805812606","-0.0875332","-0.0351111","0.0501471"
"268","1518805812617","-0.0700265","-0.0127656","-0.00776768"
"269","1518805812626","-0.0311208","-0.0121279","-0.0732536"
"270","1518805812636","-0.0172349","0.00370565","-0.144796"
"271","1518805812646","0.0532518","-0.0219359","-0.0583754"
"272","1518805812656","-0.0435925","-0.0290413","0.0280018"
"273","1518805812666","-0.115322","-0.0366409","0.0358095"
"274","1518805812677","-0.136312","-0.0465515","-0.0230694"
"275","1518805812686","-0.145443","0.0451218","-0.0107927"
"276","1518805812696","-0.162324","0.070575","-0.0124655"
"277","1518805812706","-0.0589888","0.113923","0.0494051"
"278","1518805812716","-0.0261214","0.0911381","0.11231"
"279","1518805812725","0.0289038","0.105473","0.218182"
"280","1518805812737","0.00396884","0.0901244","0.168799"
"281","1518805812746","-0.0255562","0.0491144","0.0948153"
"282","1518805812757","-0.162186","0.0488687","0.0183897"
"283","1518805812767","-0.143157","-0.0145368","-0.0331745"
"284","1518805812776","-0.0398241","-0.0671767","-0.139549"
"285","1518805812785","-0.0644214","-0.00394039","-0.119301"
"286","1518805812797","-0.103253","0.0926187","-0.128003"
"287","1518805812806","-0.088349","0.0817566","-0.157949"
"288","1518805812817","-0.0840872","0.0711516","-0.0899668"
"289","1518805812827","-0.059608","0.0224437","0.0199671"
"290","1518805812837","-0.0247014","-0.0452539","0.13856"
"291","1518805812845","0.0204627","-0.0936657","0.13958"
"292","1518805812856","0.0661711","-0.0845097","-0.0549784"
"293","1518805812866","0.129554","-0.0886774","-0.181892"
"294","1518805812876","0.15919","-0.141812","-0.130191"
"295","1518805812886","0.0775512","-0.149843","-0.140546"
"296","1518805812896","0.048633","-0.160098","0.115499"
"297","1518805812905","-0.135397","-0.057208","0.239886"
"298","1518805812916","-0.192596","-0.0783285","0.180416"
"299","1518805812925","-0.171316","-0.081817","0.104109"
"300","1518805812936","-0.17153","-0.00990641","0.0315714"
"301","1518805812946","-0.0720997","0.024637","-0.00539017"
"302","1518805812957","0.0649071","0.0369484","-0.0196352"
"303","1518805812966","0.0864033","0.0544592","-0.109564"
"304","1518805812976","0.191709","0.0837911","-0.187253"
"305","1518805812985","0.182099","0.099595","-0.115324"
"306","1518805812996","0.136102","0.0413676","-0.023304"
"307","1518805813006","0.0629115","0.023517","0.0503111"
"308","1518805813016","-0.0358647","0.0341369","0.0919657"
"309","1518805813026","-0.0497614","0.0215633","0.0601645"
"310","1518805813037","-0.0264011","0.00192729","-0.0189075"
"311","1518805813046","-0.0249518","0.00920349","-0.0802507"
"312","1518805813057","0.00302362","0.00353196","-0.0642004"
"313","1518805813066","-0.0186507","0.0315569","-0.0398684"
"314","1518805813076","-0.0321593","0.0616385","-0.00124741"
"315","1518805813085","-0.00465785","0.0244103","0.00666332"
"316","1518805813096","0.109283","-0.15286","0.0378923"
"317","1518805813106","0.179367","-0.24679","0.0628767"
"318","1518805813116","0.208618","-0.233825","0.0483856"
"319","1518805813126","0.0749541","-0.0836272","0.168958"
"320","1518805813136","-0.0951857","0.046108","0.255837"
"321","1518805813145","-0.189158","0.119249","0.237232"
"322","1518805813158","-0.134088","0.104977","0.130408"
"323","1518805813170","-0.0976932","0.0590809","-0.0527382"
"324","1518805813177","0.0195318","0.00704089","-0.116891"
"325","1518805813186","0.0309488","0.00180188","-0.0590353"
"326","1518805813196","-0.0633502","0.0359191","0.0562048"
"327","1518805813205","-0.13879","0.0325661","0.0947647"
"328","1518805813216","-0.147425","-0.0524794","-0.0908308"
"329","1518805813226","-0.18881","-0.0687994","-0.174182"
"330","1518805813237","-0.218088","-0.0703628","-0.0665598"
"331","1518805813247","-0.24151","-0.086937","0.0731697"
"332","1518805813256","-0.267909","-0.102112","0.150476"
"333","1518805813266","-0.244974","-0.0452964","0.152943"
"334","1518805813276","-0.192148","-0.0209138","0.0419064"
"335","1518805813286","-0.146057","0.00242317","-0.0679922"
"336","1518805813296","-0.0900298","-0.0306236","-0.0218315"
"337","1518805813306","-0.0777701","-0.0647227","-0.0232115"
"338","1518805813316","-0.117763","-0.055609","-0.0147381"
"339","1518805813325","-0.0865489","-0.038741","-0.0156221"
"340","1518805813336","-0.00411487","-0.0482315","-0.0508051"
"341","1518805813346","0.0656632","-0.0941324","-0.0617132"
"342","1518805813356","0.104247","-0.061898","-0.0570326"
"343","1518805813366","0.131283","-0.0437722","-0.0437107"
"344","1518805813376","0.108857","-0.0120327","-0.0349684"
"345","1518805813385","0.0813396","-0.0555962","-0.0203133"
"346","1518805813396","0.134027","-0.138333","-0.0277433"
"347","1518805813405","0.153191","-0.183452","-0.0547571"
"348","1518805813416","0.218324","-0.215717","-0.107015"
"349","1518805813426","0.218714","-0.159165","-0.118174"
"350","1518805813436","0.104101","-0.0468847","-0.142425"
"351","1518805813446","0.136912","0.0295319","-0.0794611"
"352","1518805813457","0.13443","0.035118","-0.023345"
"353","1518805813465","0.216723","-0.0312836","0.0215473"
"354","1518805813476","0.234672","-0.0786586","0.0766163"
"355","1518805813487","0.187738","-0.120389","0.0478849"
"356","1518805813496","0.144444","-0.0771573","-0.0498018"
"357","1518805813505","0.0293612","-0.0310792","-0.116458"
"358","1518805813516","0.0311506","0.0249376","-0.0797586"
"359","1518805813525","0.0823831","0.0774127","0.0357952"
"360","1518805813536","0.0888915","0.0810844","0.0746059"
"361","1518805813546","0.0768595","0.07636","0.0328684"
"362","1518805813556","0.0614876","0.108974","-0.0235062"
"363","1518805813565","0.0491901","0.163796","-0.0149746"
"364","1518805813576","0.039352","0.211484","0.0167513"
"365","1518805813585","-0.00874218","0.186426","-0.00383759"
"366","1518805813596","-0.0587101","0.116579","0.0716314"
"367","1518805813606","-0.0776148","0.0300542","0.0994444"
"368","1518805813616","-0.0391068","-0.027673","0.137017"
"369","1518805813625","-0.0236238","0.0334088","0.138346"
"370","1518805813636","-0.0169836","0.132075","0.0972691"
"371","1518805813645","-0.0078406","0.174615","-0.0102949"
"372","1518805813656","0.0760906","0.170339","-0.0388823"
"373","1518805813666","0.0110715","0.145848","0.00337219"
"374","1518805813676","-0.0486054","0.112848","0.0946379"
"375","1518805813686","-0.033138","0.0500544","0.129343"
"376","1518805813696","-0.0590726","-0.0844588","0.0958118"
"377","1518805813705","-0.0530043","-0.178661","-0.0363598"
